column_name,role,data_type,definition,calculation,leakage_and_modeling_notes
min_skill_prior_accuracy,Student-skill history aggregate,numeric proportion,Minimum prior first-attempt accuracy across the skills active on the current row.,"For each active skill, divide the student's prior correct interactions tagged with that skill by prior interactions tagged with that skill; encode unavailable skill history as 0 and take the minimum.","Uses only preceding outcomes. Prior-skill interaction-count summaries distinguish unavailable history from observed zero accuracy."
mean_skill_prior_accuracy,Student-skill history aggregate,numeric proportion,Mean prior first-attempt accuracy across the skills active on the current row.,"For each active skill, divide the student's prior correct interactions tagged with that skill by prior interactions tagged with that skill; encode unavailable skill history as 0 and take the mean.","Uses only preceding outcomes. Prior-skill interaction-count summaries distinguish unavailable history from observed zero accuracy."
median_skill_prior_accuracy,Student-skill history aggregate,numeric proportion,Median prior first-attempt accuracy across the skills active on the current row.,"For each active skill, divide the student's prior correct interactions tagged with that skill by prior interactions tagged with that skill; encode unavailable skill history as 0 and take the median.","Uses only preceding outcomes. Prior-skill interaction-count summaries distinguish unavailable history from observed zero accuracy."
max_skill_prior_accuracy,Student-skill history aggregate,numeric proportion,Maximum prior first-attempt accuracy across the skills active on the current row.,"For each active skill, divide the student's prior correct interactions tagged with that skill by prior interactions tagged with that skill; encode unavailable skill history as 0 and take the maximum.","Uses only preceding outcomes. Prior-skill interaction-count summaries distinguish unavailable history from observed zero accuracy."
min_skill_recent_accuracy_3,Student-skill recent-history aggregate,numeric proportion,Minimum recent accuracy across active skills using up to 3 prior interactions per skill.,"For each active skill, average the student's last 3 or fewer preceding correct outcomes tagged with that skill; encode unavailable history as 0 and take the minimum.","Uses only preceding outcomes involving the exact skill."
mean_skill_recent_accuracy_3,Student-skill recent-history aggregate,numeric proportion,Mean recent accuracy across active skills using up to 3 prior interactions per skill.,"For each active skill, average the student's last 3 or fewer preceding correct outcomes tagged with that skill; encode unavailable history as 0 and take the mean.","Uses only preceding outcomes involving the exact skill."
median_skill_recent_accuracy_3,Student-skill recent-history aggregate,numeric proportion,Median recent accuracy across active skills using up to 3 prior interactions per skill.,"For each active skill, average the student's last 3 or fewer preceding correct outcomes tagged with that skill; encode unavailable history as 0 and take the median.","Uses only preceding outcomes involving the exact skill."
max_skill_recent_accuracy_3,Student-skill recent-history aggregate,numeric proportion,Maximum recent accuracy across active skills using up to 3 prior interactions per skill.,"For each active skill, average the student's last 3 or fewer preceding correct outcomes tagged with that skill; encode unavailable history as 0 and take the maximum.","Uses only preceding outcomes involving the exact skill."
min_skill_recent_accuracy_5,Student-skill recent-history aggregate,numeric proportion,Minimum recent accuracy across active skills using up to 5 prior interactions per skill.,"For each active skill, average the student's last 5 or fewer preceding correct outcomes tagged with that skill; encode unavailable history as 0 and take the minimum.","Uses only preceding outcomes involving the exact skill."
mean_skill_recent_accuracy_5,Student-skill recent-history aggregate,numeric proportion,Mean recent accuracy across active skills using up to 5 prior interactions per skill.,"For each active skill, average the student's last 5 or fewer preceding correct outcomes tagged with that skill; encode unavailable history as 0 and take the mean.","Uses only preceding outcomes involving the exact skill."
median_skill_recent_accuracy_5,Student-skill recent-history aggregate,numeric proportion,Median recent accuracy across active skills using up to 5 prior interactions per skill.,"For each active skill, average the student's last 5 or fewer preceding correct outcomes tagged with that skill; encode unavailable history as 0 and take the median.","Uses only preceding outcomes involving the exact skill."
max_skill_recent_accuracy_5,Student-skill recent-history aggregate,numeric proportion,Maximum recent accuracy across active skills using up to 5 prior interactions per skill.,"For each active skill, average the student's last 5 or fewer preceding correct outcomes tagged with that skill; encode unavailable history as 0 and take the maximum.","Uses only preceding outcomes involving the exact skill."
min_skill_recent_accuracy_10,Student-skill recent-history aggregate,numeric proportion,Minimum recent accuracy across active skills using up to 10 prior interactions per skill.,"For each active skill, average the student's last 10 or fewer preceding correct outcomes tagged with that skill; encode unavailable history as 0 and take the minimum.","Uses only preceding outcomes involving the exact skill."
mean_skill_recent_accuracy_10,Student-skill recent-history aggregate,numeric proportion,Mean recent accuracy across active skills using up to 10 prior interactions per skill.,"For each active skill, average the student's last 10 or fewer preceding correct outcomes tagged with that skill; encode unavailable history as 0 and take the mean.","Uses only preceding outcomes involving the exact skill."
median_skill_recent_accuracy_10,Student-skill recent-history aggregate,numeric proportion,Median recent accuracy across active skills using up to 10 prior interactions per skill.,"For each active skill, average the student's last 10 or fewer preceding correct outcomes tagged with that skill; encode unavailable history as 0 and take the median.","Uses only preceding outcomes involving the exact skill."
max_skill_recent_accuracy_10,Student-skill recent-history aggregate,numeric proportion,Maximum recent accuracy across active skills using up to 10 prior interactions per skill.,"For each active skill, average the student's last 10 or fewer preceding correct outcomes tagged with that skill; encode unavailable history as 0 and take the maximum.","Uses only preceding outcomes involving the exact skill."
