column_name,role,recommended_data_type,missing_count,missing_percent,observed_values_or_range,plain_english_definition,codes_or_categories,data_quality_and_modeling_notes,documentation_basis,source_url
tutor_mode,Interaction mode,categorical string,0,0.00%,tutor; test,Mode in which the problem was delivered.,"Observed in this file: tutor, test. Older documentation also mentions pre-test/post-test modes, but they are not present here.",Use observed categories from this CSV rather than assuming all categories listed in older documentation exist.,Official documentation + observed file,https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data/combined-dataset-2009-10
answer_type,Response format,categorical string,0,0.00%,algebra; choose_1; fill_in_1; choose_n; open_response,Format used for the student response.,Observed: algebra = math-evaluated text response; choose_1 = single-choice multiple choice; fill_in_1 = fill-in text/string response; choose_n = select-multiple response; open_response = open response.,"The official older page says fill_in, but the actual corrected collapsed file uses fill_in_1. choose_n is also present although not listed on that page.",Official documentation reconciled to observed file,https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data/combined-dataset-2009-10
sequence_id,Problem-set identifier,integer,0,0.00%,Observed range: 5870 to 13362,Identifier for the problem set (historically called a sequence). Different assignments can reference the same sequence_id.,Integer ID.,Content-level identifier; treat as categorical.,Official documentation,https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data/combined-dataset-2009-10
student_class_id,Class identifier,integer,0,0.00%,Observed range: 11644 to 14415,Identifier of the class associated with the student/assignment.,Integer ID.,Contextual identifier. Treat as categorical and avoid interpreting its numeric magnitude.,Official documentation,https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data/combined-dataset-2009-10
position,Assignment metadata,integer,0,0.00%,Observed range: 1 to 295,Position of the assignment on the class assignments page.,Positive integer.,"This is assignment-page position, not the student’s within-problem response order.",Official documentation,https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data/combined-dataset-2009-10
type,Problem-set type,categorical string,0,0.00%,MasterySection only,Problem-set type field. It corresponds to the concept called problem_set_type on the Combined Dataset documentation page.,Observed in this Skill Builder file: MasterySection only.,"Because every row has the same value in this downloaded file, it has no predictive variance and can normally be dropped from modeling.",Official concept + actual column name/value,https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data/combined-dataset-2009-10
base_sequence_id,Canonical problem-set identifier,integer,0,0.00%,Observed range: 5870 to 13362,Identifier of the original problem set when a sequence has been copied; otherwise it may equal sequence_id.,Integer ID.,Useful for grouping copied versions of the same underlying problem set.,Official documentation,https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data/combined-dataset-2009-10
skill_id,Skill / knowledge-component identifier,string (possibly composite),0,0.00%,Examples: 311; 47; 1_13; 2_37_70; NA,"Identifier(s) for the math skill(s)/knowledge component(s) associated with the problem. In this corrected collapsed file, multiple skill IDs for one student-problem are combined into one underscore-delimited string.",Examples: 311; 47; 1_13; 2_37_70. Literal NA is also present and should usually be interpreted as missing skill information.,"Read as string, not numeric. Split on underscore only if you intentionally want individual skills; otherwise a composite can be treated as a joint skill tag.",Skill Builder corrected-file description + observed file,https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data/skill-builder-data-2009-2010
skill_name,Skill / knowledge-component label,string,72270,20.84%,Text labels; blanks present,Human-readable name of the skill associated with the problem.,"Examples include Equation Solving Two or Fewer Steps, Proportion, Box and Whisker. Blank values occur.",The collapsed file may contain composite skill_id values even when skill_name shows one readable label; use skill_id as the more reliable machine key.,Official documentation + observed file,https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data/combined-dataset-2009-10
teacher_id,Teacher identifier,integer,0,0.00%,Observed range: 11158 to 69274,Anonymized identifier of the teacher who assigned the problem.,Integer ID.,Contextual identifier; not needed for a student-skill proficiency project unless explicitly modeling teacher/class effects.,Official documentation,https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data/combined-dataset-2009-10
school_id,School identifier,integer,0,0.00%,Observed range: 1 to 9948,Anonymized identifier of the school where the problem was assigned.,Integer ID.,"Contextual identifier; treat as categorical, not continuous.",Official documentation,https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data/combined-dataset-2009-10
hint_count,Student help-seeking behavior,integer,0,0.00%,Observed range: 0 to 10,Number of hints the student requested while working on the problem.,Count from 0 upward; observed range in this file is 0–10.,The older 2009–10 page contains a wording error that describes this as attempts; the more detailed ASSISTments interpretation page clearly defines it as hints requested.,Official detailed interpretation + observed file,https://sites.google.com/site/assistmentsdata/an-explanation-on-how-to-interpret-our-data-sets
hint_total,Problem metadata,integer,0,0.00%,Observed range: 0 to 10,Total number of hints available for the problem.,Count; observed range in this file is 0–10.,Can be used with hint_count to derive a fraction of available hints used. A value of 0 means no hints were available/defined.,Official detailed interpretation + observed file,https://sites.google.com/site/assistmentsdata/an-explanation-on-how-to-interpret-our-data-sets
overlap_time,Timing,integer milliseconds,0,0.00%,Observed range: -7759575 to 84076925,"Intended estimate of total time the student spent completing the problem, in milliseconds, including time across attempts/hints.",Milliseconds.,ASSISTments explicitly warns this field is often computed incorrectly. The uploaded file also contains negative and extreme values; treat it as noisy and validate before use.,Official detailed interpretation + observed file,https://sites.google.com/site/assistmentsdata/an-explanation-on-how-to-interpret-our-data-sets
template_id,Content-template identifier,integer,0,0.00%,Observed range: 86 to 106180,Identifier of the ASSISTment template. ASSISTments sharing a template_id have similar/templated questions.,Integer ID.,Potential way to group structurally similar questions. Treat as categorical.,Official documentation,https://sites.google.com/site/assistmentsdata/an-explanation-on-how-to-interpret-our-data-sets
answer_id,Student response,string / categorical ID,0,0.00%,Integer-like IDs or literal NA,Identifier of the answer option selected for multiple-choice/select-type questions.,Integer-like answer IDs when applicable; literal NA for most rows where no answer-option ID applies.,Read as string because NA is used as a literal missing marker. Mainly relevant for multiple-choice analyses.,Official detailed interpretation + observed file,https://sites.google.com/site/assistmentsdata/an-explanation-on-how-to-interpret-our-data-sets
answer_text,Student response,text/string,77627,22.38%,Free-form text/numeric-looking strings; blanks present,"Student-entered answer text, or selected value, when recorded for the response type.",Free-form/numeric-looking text; blanks are common.,Read as text even when values look numeric. Avoid numeric type inference. User-entered response text can be noisy and should be handled cautiously.,Official detailed interpretation + observed file,https://sites.google.com/site/assistmentsdata/an-explanation-on-how-to-interpret-our-data-sets
first_action,Student first-action behavior,categorical integer,0,0.00%,"0, 1, 2",Type of the student’s first action after opening the problem.,0 = answer attempt; 1 = hint request; 2 = scaffolding / break problem into steps.,"The Combined page only loosely describes attempt vs hint; the detailed interpretation page documents the scaffolding code 2, which is present in this file.",Official detailed interpretation + observed file,https://sites.google.com/site/assistmentsdata/an-explanation-on-how-to-interpret-our-data-sets
bottom_hint,Student help-seeking behavior,categorical flag/string,0,0.00%,0; 1; NA,"Indicates whether the student requested the final “bottom-out” hint, which generally reveals the answer.",1 = requested bottom-out hint; 0 = used hinting but did not request bottom-out hint; literal NA = no hint was requested / not applicable.,Read as categorical/string rather than numeric because this CSV uses the literal NA marker. Scaffolding questions cannot receive hints.,Official detailed interpretation + observed file,https://sites.google.com/site/assistmentsdata/an-explanation-on-how-to-interpret-our-data-sets
opportunity,Practice history,integer,0,0.00%,Observed range: 1 to 3371,"Count of opportunities the student has had to practice the associated skill up to and including this interaction, as supplied by the dataset.",Positive integer count.,"Highly relevant to knowledge/proficiency modeling. In this collapsed file a student-problem has one row even when skill_id is composite, so interpret the supplied count as the dataset’s collapsed opportunity value rather than reconstructing per-skill counts from this field alone.",Official documentation + corrected-file structure,https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data/skill-builder-data-2009-2010
opportunity_original,Practice history,integer with blanks,71281,20.55%,1; 2; 3; 4; 5,Number of opportunities the student has had to practice the skill when counting only original/main problems.,"Positive integer when present; blank values occur, especially for scaffolding rows.",Useful when modeling independent main-problem practice. Preserve as nullable integer.,Official documentation + observed file,https://sites.google.com/site/assistmentsdata/an-explanation-on-how-to-interpret-our-data-sets
